Index,Unique_URLS,Total_Number_Requests,Total_Server_OK_Requests,Total_Server_Error_Requests,Total_Client_Eror_Requests,Country
175,340,498,295,0,151,US
176,383,497,32,0,437,US
177,219,493,458,1,7,US
178,391,490,38,0,424,US
179,153,488,399,81,5,US
180,139,487,457,0,0,ID
181,368,479,212,2,0,US
182,10,479,467,1,0,IQ
183,416,476,317,0,0,US
184,17,474,468,0,0,US
185,388,474,374,100,0,US
186,48,474,468,0,5,US
187,146,473,375,1,44,US
188,188,472,274,0,1,US
189,313,471,462,0,2,SG
190,75,470,345,0,57,US
191,15,469,343,2,0,BR
192,46,468,465,0,1,US
193,207,465,320,1,0,US
194,409,462,392,6,2,US
195,4,460,460,0,0,ID
196,7,458,70,0,0,US
197,188,455,418,1,0,US
198,10,453,93,1,0,US
199,169,447,427,0,5,US
200,392,446,315,5,0,US
201,42,443,183,1,1,US
202,155,442,294,1,0,US
203,3,440,439,0,0,DK
204,57,440,426,0,9,US
205,423,437,437,0,0,IE
206,338,436,334,102,0,US
207,53,434,414,1,0,US
208,8,433,420,0,0,US
209,353,427,310,1,8,US
210,264,427,321,0,63,US
211,12,426,424,1,0,US
212,196,426,258,1,2,US
213,365,424,306,0,0,US
214,348,413,308,0,9,US
215,14,412,212,1,2,US
216,275,411,402,1,1,SG
217,251,409,364,3,5,US
218,37,400,383,0,1,AU
219,51,396,258,1,0,US
220,64,394,374,0,2,US
221,75,393,322,0,1,US
222,324,392,389,0,3,US
223,233,392,257,0,1,US
224,216,389,345,3,8,US
225,342,386,305,1,7,US
226,65,385,371,0,3,US
227,170,384,274,0,0,US
228,316,382,377,0,4,US
229,109,380,331,1,0,US
230,9,379,281,0,0,DE
231,1,378,378,0,0,TR
232,65,377,338,0,7,US
233,301,376,365,0,9,US
234,62,376,117,0,0,US
235,323,375,251,1,0,US
236,51,373,336,1,9,AU
237,270,370,294,10,39,US
238,31,369,87,0,0,US
239,298,367,362,0,3,US
240,133,365,243,0,0,US
241,59,363,363,0,0,HK
242,63,361,295,4,1,US
243,128,358,311,0,0,AU
244,87,358,349,0,2,CA
245,291,358,0,0,358,US
246,327,358,310,5,5,US
247,87,357,228,1,2,US
248,6,356,268,0,0,NL
249,184,355,327,0,11,US
250,68,353,297,5,0,US
251,1,353,353,0,0,US
252,286,352,347,0,4,US
253,30,350,53,1,0,US
254,21,350,341,0,0,US
255,78,350,281,0,0,US
256,16,349,137,4,0,US
257,23,349,346,0,1,IE
258,224,348,224,0,45,US
259,319,347,347,0,0,US
260,45,347,67,0,1,US
261,156,346,199,2,1,US
262,124,345,205,2,0,US
263,323,344,227,0,2,US
264,323,342,318,0,7,US
265,289,340,47,1,275,US
266,320,336,306,0,0,US
267,55,334,256,0,1,US
268,66,333,279,3,1,US
269,311,331,240,0,0,US
270,59,329,298,0,6,US
271,40,328,61,0,1,US
272,163,328,294,4,7,US
273,36,327,268,0,1,US
274,72,326,294,0,2,AU
275,98,325,280,4,3,US
276,45,324,51,1,0,US
277,303,324,274,6,1,US
278,42,323,45,0,2,US
279,45,321,90,0,1,US
280,85,320,314,0,1,US
281,49,320,66,0,0,US
282,127,318,211,0,2,US
283,5,316,316,0,0,NZ
284,272,316,221,0,0,US
285,25,315,300,0,0,US
286,20,314,302,0,0,AU
287,72,312,297,0,13,US
288,37,311,264,0,2,US
289,133,310,278,11,3,US
290,54,310,260,0,0,PE
291,104,310,279,0,8,US
292,65,309,260,3,1,US
293,51,309,262,2,0,US
294,35,307,38,1,0,US
295,42,305,56,0,1,US
296,38,304,296,0,1,US
297,40,303,59,0,0,US
298,291,303,279,0,9,US
299,61,299,244,3,0,US
300,52,298,250,3,0,US
301,145,295,33,0,250,KR
302,15,295,105,0,0,US
303,50,295,56,0,1,US
304,281,294,270,1,6,US
305,1,293,293,0,0,US
306,95,293,238,0,14,US
307,54,291,242,0,1,US
308,81,290,279,0,2,CA
309,32,290,39,1,1,US
310,93,289,286,0,0,PE
311,243,288,280,0,8,US
312,127,287,245,0,0,US
313,145,287,266,0,4,US
314,80,285,247,0,0,SG
315,130,285,176,0,1,US
316,263,282,249,0,2,US
317,52,281,224,2,1,US
318,185,281,201,23,29,US
319,223,281,212,1,2,US
320,13,280,95,0,0,US
321,34,280,263,0,0,US
322,273,280,239,1,5,US
323,100,278,272,0,1,US
324,266,277,7,0,270,US
325,110,276,177,88,3,US
326,31,275,38,0,0,US
327,1,274,274,0,0,US
328,54,272,260,0,2,US
329,99,272,200,2,0,US
330,262,272,208,2,0,US
331,51,271,229,1,17,US
332,31,270,34,0,2,US
333,125,269,233,0,2,US
334,231,269,209,4,1,US
335,47,265,249,0,0,AU
336,35,265,255,0,0,US
337,112,264,240,0,0,SG
338,2,263,259,0,4,GB
339,135,262,239,0,1,JP
340,33,262,247,0,1,US
341,103,262,159,0,3,US
342,111,259,234,0,9,US
343,33,259,254,0,1,US
344,43,259,96,0,0,US
345,209,258,249,0,9,US
346,76,257,226,0,11,KR
347,147,257,171,1,0,US
348,122,256,171,3,52,US
349,63,255,93,1,3,US
350,64,255,203,0,1,CA
351,3,255,254,0,0,NL
352,133,255,150,1,0,US
353,8,254,254,0,0,US
354,29,254,231,1,0,US
355,37,253,251,0,0,US
356,2,253,252,0,1,IR
357,39,252,220,0,0,US
358,243,250,200,0,1,US
359,41,248,224,0,1,AU
360,34,248,243,0,3,GB
361,41,248,50,1,0,US
362,9,247,245,0,0,FR
363,114,247,228,0,2,SG
364,25,247,233,0,0,US
365,205,246,57,0,181,US
366,128,246,163,0,0,US
367,129,243,159,0,0,US
368,3,242,241,0,0,US
369,28,242,224,1,1,IE
370,3,242,220,0,2,US
371,19,242,238,0,0,BR
372,56,241,221,0,1,AU
373,10,241,240,1,0,US
374,92,241,227,0,2,FI
375,2,239,239,0,0,US
376,238,239,239,0,0,JP
377,54,238,233,0,1,US
378,73,237,218,0,1,US
379,18,237,198,0,0,US
380,96,237,230,0,1,FI
381,80,235,202,0,0,HK
382,15,235,141,33,1,US
383,44,234,226,0,4,US
384,110,234,151,0,0,US
385,153,233,156,0,1,US
386,42,232,180,5,1,US
387,45,232,221,0,0,GT
388,105,231,222,0,0,IE
389,51,231,213,0,13,JP
390,119,230,201,0,4,US
391,199,230,171,1,1,US
392,71,229,122,0,0,US
393,26,229,151,0,2,US
394,33,229,45,1,0,US
395,18,228,227,0,0,US
396,83,226,171,0,1,US
397,26,226,189,0,0,US
398,27,225,182,1,36,US
399,18,225,212,0,11,US
400,11,225,170,0,0,BR
401,191,224,196,0,2,US
402,4,223,220,0,0,US
403,2,222,222,0,0,US
404,32,222,210,0,0,US
405,5,222,212,2,0,NL
406,86,221,202,0,4,US
407,74,221,160,1,2,US
408,16,221,131,0,0,US
409,83,220,199,0,0,AU
410,112,220,193,1,0,CA
411,81,220,211,0,0,PE
412,31,219,87,1,0,US
413,79,219,160,1,1,US
414,56,219,195,2,2,US
415,94,219,207,0,1,FI
416,13,219,215,1,2,US
417,143,219,70,0,4,US
418,139,218,177,6,0,AU
419,65,218,199,0,15,US
420,69,218,203,1,5,US
421,59,216,206,1,0,CN
422,62,215,204,0,8,US
423,120,215,134,5,1,US
424,7,214,211,0,0,FR
425,44,214,202,0,2,US
426,23,214,194,1,3,US
427,18,214,211,0,1,US
428,206,214,145,3,0,US
429,92,213,139,0,0,US
430,129,212,196,5,0,HK
431,70,212,153,0,1,US
432,24,212,202,1,0,US
433,167,212,153,1,0,US
434,151,211,137,1,0,US
435,76,210,196,0,0,PE
436,161,209,143,0,46,US
437,97,206,186,3,7,US
438,45,203,192,0,1,US
439,95,203,190,2,6,US
440,27,203,38,0,0,US
441,107,203,167,0,2,US
442,27,202,166,0,1,US
443,186,202,158,1,1,US
444,2,201,201,0,0,ZA
445,155,201,60,0,1,US
446,22,200,35,0,11,US
447,199,200,13,6,1,US
448,81,200,164,2,22,US
449,77,198,173,0,3,US
450,25,197,187,1,2,AU
451,104,197,192,0,0,US
452,24,196,196,0,0,US
453,68,196,179,0,8,US
454,14,196,192,0,0,GB
455,47,196,191,0,0,US
456,129,196,128,0,1,US
457,7,196,196,0,0,NL
458,15,196,159,8,1,US
459,97,196,163,2,18,US
460,37,195,151,0,1,US
461,2,195,195,0,0,NL
462,51,195,183,1,1,US
463,41,194,171,0,0,AU
464,40,194,186,0,0,US
465,23,194,19,0,4,US
466,1,193,193,0,0,ZA
467,98,193,172,3,5,US
468,5,193,193,0,0,TW
469,67,192,178,0,0,VE
470,3,192,18,0,0,US
471,11,192,139,4,0,US
472,176,192,140,1,0,US
473,2,190,190,0,0,FR
474,167,188,166,0,0,US
475,92,188,105,0,0,US
476,52,188,146,1,0,US
477,23,187,182,0,0,CZ
478,3,187,187,0,0,IN
479,59,187,110,0,0,US
480,3,187,7,9,56,UA
481,51,186,176,3,4,US
482,39,186,180,0,0,US
483,13,186,180,0,0,PE
484,2,186,166,7,0,US
485,15,186,183,0,0,US
486,98,185,176,2,1,DE
487,54,185,173,3,0,US
488,1,185,0,0,0,IS
489,1,184,184,0,0,US
490,23,184,164,0,17,JP
491,47,184,169,0,0,US
492,88,184,167,2,1,US
493,79,184,163,0,1,US
494,48,183,166,1,1,US
495,94,183,165,0,2,AU
496,38,183,172,0,3,US
497,97,183,172,3,7,US
498,53,183,59,0,1,US
499,21,182,176,0,0,US
500,143,182,179,0,0,JP
501,95,182,140,2,9,US
502,125,182,131,0,14,DE
503,95,181,165,2,0,HK
504,92,180,156,1,2,US
505,92,179,128,1,8,US
506,9,179,157,3,0,US
507,52,179,119,0,0,US
508,1,178,178,0,0,US
509,49,178,146,0,1,SG
510,5,178,178,0,0,NL
511,111,178,116,0,3,US
512,27,177,175,0,0,PE
513,16,177,161,0,0,CA
514,162,177,165,1,1,US
515,164,177,144,0,7,US
516,83,176,159,0,13,US
517,96,176,122,1,0,US
518,94,176,113,0,2,US
519,12,175,175,0,0,RU
520,2,175,175,0,0,NL
521,15,175,167,2,1,US
522,4,175,4,6,42,UA
523,79,174,156,2,2,AU
524,64,174,167,4,0,JP
525,3,173,172,0,0,ID
526,53,173,167,0,2,AU
527,28,173,144,0,0,US
528,16,173,172,0,0,US
529,24,172,155,0,2,US
530,24,172,154,17,1,US
531,106,172,90,0,0,HK
532,142,172,7,0,136,US
533,47,172,138,0,0,SG
534,24,172,118,0,0,US
535,103,172,121,1,1,US
536,86,171,157,2,0,CA
537,45,171,162,0,0,PE
538,44,171,148,0,0,US
539,84,171,147,2,3,US
540,20,171,169,0,0,US
541,47,170,126,0,0,US
542,7,170,170,0,0,RU
543,50,170,164,0,0,US
544,40,170,161,0,1,SG
545,22,170,161,1,0,US
546,46,169,162,1,0,PE
547,45,169,150,19,0,CA
548,42,168,158,0,0,PE
549,2,168,168,0,0,ZA
550,164,168,167,0,0,NL
551,39,167,159,0,0,US
552,22,167,147,0,2,US
553,57,166,134,26,3,US
554,9,166,159,0,0,US
555,43,166,162,0,0,US
556,74,166,127,1,1,US
557,163,166,143,0,1,US
558,15,165,159,0,0,US
559,3,165,10,0,0,US
560,3,164,164,0,0,US
561,63,164,157,2,1,US
562,21,164,156,1,0,US
563,41,164,131,0,0,US
564,2,164,4,1,0,NL
565,28,163,147,1,1,US
566,50,163,157,1,2,US
567,13,163,159,0,3,US
568,51,163,78,0,2,US
569,88,163,133,0,0,US
570,134,163,147,1,8,US
571,36,162,162,0,0,US
572,1,162,162,0,0,US
573,10,162,55,0,0,US
574,155,162,161,0,0,TW
575,153,162,132,0,0,US
576,26,161,153,0,0,US
577,28,161,153,0,0,US
578,15,161,123,2,0,US
579,15,160,160,0,0,US
580,61,160,150,0,1,US
581,2,160,9,0,149,US
582,18,160,147,0,0,US
583,135,160,90,0,50,US
584,112,160,91,1,0,US
585,26,159,148,0,0,US
586,46,159,148,0,1,US
587,3,159,159,0,0,US
588,100,158,90,0,1,US
589,71,158,92,0,0,DE
590,99,157,153,0,0,JP
591,27,157,140,17,0,US
592,62,157,152,0,1,US
593,56,156,145,1,1,US
594,154,156,154,0,0,JP
595,31,156,153,0,0,SG
596,1,156,156,0,0,US
597,20,156,153,0,0,RU
598,81,155,137,2,8,US
599,55,154,151,0,3,US
600,70,154,129,2,3,AU
601,20,154,19,0,133,US
602,146,154,149,0,3,MD
603,60,154,100,0,0,US
604,10,154,47,0,0,US
605,4,154,154,0,0,US
606,10,154,144,1,0,US
607,152,154,123,0,0,US
608,127,154,146,1,3,DE
609,82,153,138,1,0,AU
610,1,153,0,153,0,NL
611,17,153,127,3,0,US
612,145,153,144,8,0,US
613,19,152,141,0,0,US
614,10,152,148,0,3,US
615,82,152,133,0,5,US
616,41,152,138,0,0,HK
617,102,152,59,0,26,US
618,15,152,83,0,68,DK
619,139,151,140,0,2,US
620,66,151,129,5,6,US
621,14,151,98,19,0,US
622,44,149,140,0,2,US
623,17,149,145,0,0,US
624,136,149,117,1,0,US
625,87,148,48,1,98,US
626,89,147,80,0,10,ID
627,43,147,142,3,2,US
628,72,147,132,2,2,US
629,53,147,143,0,0,PE
630,4,147,105,0,0,CN
631,17,147,144,1,0,US
632,97,147,143,0,0,US
633,74,146,127,1,4,US
634,7,146,146,0,0,TW
635,22,145,141,0,0,US
636,12,145,136,0,1,US
637,36,145,141,0,0,US
638,27,145,28,0,0,US
639,28,145,129,0,0,US
640,97,145,102,0,0,US
641,20,144,75,0,1,US
642,50,144,127,0,2,US
643,17,144,135,0,0,JP
644,79,144,88,2,48,US
645,121,144,122,0,12,BE
646,52,143,134,0,7,US
647,53,143,128,2,9,US
648,8,143,138,0,1,CZ
649,40,143,142,0,0,CH
650,1,143,0,0,0,NL
651,67,142,120,1,8,AU
652,12,142,138,0,0,NZ
653,12,142,137,0,0,CA
654,74,142,130,0,1,US
655,9,142,138,0,1,US
656,34,142,32,0,2,US
657,129,142,64,0,60,US
658,94,142,136,0,0,US
659,40,141,105,22,0,US
660,139,141,12,0,0,US
661,70,141,93,0,0,HK
662,97,141,0,0,141,US
663,16,141,134,0,6,JP
664,39,141,134,0,1,CA
665,31,141,141,0,0,US
666,84,141,116,0,3,US
667,27,140,132,0,3,US
668,58,140,115,2,1,AU
669,79,140,130,0,4,US
670,69,140,126,1,8,US
671,2,140,139,0,1,CZ
672,47,139,115,1,10,US
673,31,139,129,2,1,IE
674,70,139,128,1,5,US
675,135,139,121,0,18,CN
676,2,139,135,0,0,CA
677,10,139,137,0,0,HK
678,6,139,138,0,0,RU
679,1,139,139,0,0,US
680,26,139,132,0,1,US
681,42,139,136,0,1,US
682,1,138,138,0,0,US
683,1,138,138,0,0,DE
684,50,137,132,0,2,US
685,27,137,119,0,0,US
686,41,137,126,0,0,IN
687,56,137,115,10,0,US
688,47,137,118,0,1,HK
689,60,136,123,1,3,US
690,53,136,126,5,3,US
691,23,136,134,0,0,US
692,51,136,135,0,0,PE
693,16,136,132,0,1,US
694,39,136,81,1,0,US
695,23,136,107,0,1,GB
696,34,135,109,0,0,US
697,10,135,59,0,2,US
698,63,135,127,0,0,US
699,43,135,128,0,0,US
700,32,134,134,0,0,CN
701,71,134,117,0,3,JP
702,73,134,83,0,0,US
703,19,134,69,0,2,US
704,6,134,125,1,0,US
705,40,133,114,15,1,US
706,133,133,131,0,0,US
707,26,133,122,0,1,US
708,6,133,98,0,0,NL
709,55,133,125,0,1,JP
710,74,133,128,0,0,US
711,41,133,125,0,0,EC
712,103,133,27,0,91,US
713,3,133,19,0,114,CN
714,80,133,79,0,0,US
715,50,132,124,0,0,US
716,89,132,78,7,0,US
717,8,131,129,0,1,JP
718,49,131,107,0,0,US
719,63,131,122,0,1,US
720,4,131,93,0,0,US
721,9,131,65,0,4,IR
722,125,131,94,0,1,US
723,21,130,126,0,3,US
724,41,130,117,0,0,US
725,2,130,130,0,0,MY
726,101,130,120,0,0,HK
727,78,130,118,3,2,US
728,92,130,48,2,20,US
729,61,129,120,4,0,US
730,22,129,126,0,0,HK
731,22,129,100,0,0,CA
732,9,129,46,0,0,US
733,118,129,89,5,0,US
734,19,129,125,0,0,RU
735,26,128,114,0,0,US
736,58,128,120,0,3,US
737,56,128,121,1,5,US
738,61,128,113,0,5,US
739,42,128,116,0,0,BR
740,117,128,123,0,0,CA
741,45,128,86,0,1,DE
742,46,128,120,0,4,US
743,119,128,118,9,0,US
744,10,128,125,0,2,RU
745,43,127,120,0,0,US
746,41,127,122,0,0,HK
747,3,127,6,0,0,US
748,8,127,71,0,55,US
749,47,127,108,0,0,US
750,23,127,21,0,0,US
751,33,126,118,0,0,US
752,56,126,116,0,0,US
753,35,126,124,1,0,GT
754,46,126,121,0,0,JP
755,5,126,126,0,0,US
756,102,126,99,6,0,US
757,41,125,93,0,0,AU
758,124,125,8,0,0,US
759,69,125,115,0,6,JP
760,25,125,98,0,0,US
761,59,125,118,0,3,US
762,67,125,115,0,3,US
763,41,125,100,0,5,CA
764,49,125,99,1,3,US
765,48,125,113,1,1,US
766,122,125,82,0,1,US
767,55,125,109,0,2,US
768,28,125,120,2,0,JP
769,46,125,116,0,1,US
770,14,124,124,0,0,RU
771,61,124,115,3,2,US
772,42,124,117,0,0,PE
773,70,124,110,0,2,AU
774,7,124,124,0,0,US
775,17,123,122,0,0,US
776,121,123,122,0,0,CA
777,120,123,81,0,5,US
778,45,123,116,0,0,US
779,71,123,113,0,2,US
780,28,123,34,0,0,US
781,104,123,104,1,0,US
782,1,122,122,0,0,AT
783,41,121,104,1,3,US
784,41,121,101,0,0,PE
785,13,121,109,0,9,US
786,39,121,111,0,8,JP
787,92,121,90,0,4,US
788,92,121,117,0,0,SG
789,11,121,118,0,0,RU
790,13,121,74,2,1,US
791,110,121,78,4,4,US
792,17,120,113,0,0,JP
793,65,120,114,0,1,US
794,23,120,114,1,0,CA
795,36,120,112,3,2,US
796,113,120,111,0,2,US
797,42,120,109,0,0,US
798,13,120,90,1,0,US
799,3,119,118,0,0,ZA
800,68,119,119,0,0,US
801,39,119,113,0,0,US
802,1,119,119,0,0,US
803,15,119,77,0,1,US
804,84,118,113,0,0,JP
805,60,118,95,1,1,AU
806,60,118,108,1,5,US
807,68,118,109,2,1,US
808,62,118,118,0,0,HK
809,23,118,117,0,0,CA
810,2,118,117,0,1,KR
811,27,118,24,0,0,US
812,34,117,112,0,0,IN
813,51,117,104,1,3,US
814,70,117,101,1,6,US
815,69,117,101,1,6,US
816,6,117,115,0,0,PE
817,29,117,117,0,0,US
818,61,117,117,0,0,HK
819,84,117,93,0,4,BE
820,2,117,117,0,0,DE
821,50,116,106,0,2,US
822,56,116,116,0,0,US
823,26,116,104,2,0,US
824,57,116,109,1,4,US
825,55,116,96,0,14,US
826,61,116,115,0,0,PE
827,46,116,109,0,3,CA
828,46,116,56,0,0,US
829,5,116,116,0,0,US
830,23,116,114,0,0,US
831,50,116,98,2,1,US
832,49,116,72,40,2,US
833,2,116,116,0,0,US
834,45,115,94,0,0,AU
835,19,115,45,1,0,GB
836,11,115,109,0,0,ID
837,56,115,108,0,4,US
838,64,115,109,0,1,US
839,51,115,101,0,0,MY
840,54,115,113,0,0,US
841,55,115,108,0,0,US
842,64,115,110,0,2,DE
843,28,115,107,0,0,US
844,1,115,0,0,0,IS
845,36,114,96,0,3,US
846,18,114,111,2,0,US
847,20,114,113,0,0,US
848,1,114,114,0,0,US
849,111,114,85,0,0,US
850,30,114,103,1,0,SG
851,43,114,99,0,2,SG
852,29,114,113,0,0,US
853,59,114,112,0,0,US
854,69,114,104,0,0,US
855,112,113,12,0,0,US
856,52,113,99,0,0,IN
857,8,113,113,0,0,RU
858,40,113,102,0,1,US
859,16,113,110,0,0,US
860,70,112,102,0,6,US
861,51,112,108,0,2,US
862,38,112,100,0,1,US
863,10,112,110,0,0,TW
864,36,112,105,0,0,BE
865,36,111,84,0,0,IN
866,38,111,99,0,0,ID
867,16,111,108,1,1,US
868,111,111,102,1,3,US
869,95,111,104,0,1,US
870,32,111,76,0,0,US
871,46,110,100,0,0,US
872,20,110,103,0,0,US
873,65,110,100,1,3,AU
874,57,110,95,1,4,US
875,61,110,110,0,0,US
876,66,110,12,0,59,US
877,30,110,47,0,0,US
878,105,110,106,0,0,US
879,88,110,70,0,0,US
880,37,110,100,0,0,BE
881,55,110,61,0,0,US
882,33,109,75,0,0,US
883,31,109,101,0,0,US
884,56,109,98,4,4,US
885,32,109,104,0,1,DE
886,21,109,89,0,2,CA
887,109,109,103,0,0,US
888,4,109,108,0,0,US
889,63,109,54,0,44,US
890,49,109,95,0,5,US
891,90,109,102,0,0,US
892,109,109,50,1,0,US
893,43,109,98,0,1,BE
894,45,109,84,0,0,US
895,1,109,0,0,0,NL
896,69,108,100,0,0,JP
897,1,108,108,0,0,US
898,46,108,101,2,0,US
899,51,108,91,0,1,US
900,17,108,106,0,0,PE
901,49,108,102,1,1,US
902,71,108,96,0,1,US
903,21,107,105,0,2,US
904,27,107,96,0,1,US
905,4,107,106,0,0,US
906,31,107,86,3,4,IE
907,33,107,94,0,0,US
908,55,107,95,0,2,US
909,46,107,102,1,1,US
910,50,107,95,1,4,US
911,12,107,106,0,0,PE
912,18,107,101,0,0,FR
913,6,107,107,0,0,US
914,106,107,107,0,0,JP
915,50,107,85,0,0,US
916,24,107,107,0,0,TW
917,92,107,85,1,1,US
918,54,106,88,1,6,US
919,51,106,89,5,4,US
920,56,106,92,1,2,US
921,28,106,95,8,0,AU
922,21,106,101,1,0,US
923,3,106,104,0,0,MX
924,46,106,105,1,0,HK
925,55,106,96,1,4,US
926,45,106,101,0,0,US
927,23,106,26,0,0,US
928,35,106,61,0,0,US
929,28,106,84,0,1,US
930,50,106,103,0,2,US
931,93,106,90,0,1,US
932,47,105,78,8,2,AU
933,30,105,103,0,0,JP
934,27,105,96,0,1,US
935,45,105,98,0,2,US
936,20,105,105,0,0,PE
937,43,105,60,2,1,US
938,12,105,87,0,0,US
939,45,104,94,0,10,US
940,48,104,92,1,5,US
941,45,104,99,0,2,US
942,51,104,84,2,0,US
943,36,104,90,0,0,AU
944,9,104,102,0,0,PE
945,4,104,102,0,0,AU
946,49,104,92,0,0,US
947,48,104,96,0,2,US
948,61,104,68,0,0,US
949,100,104,42,0,1,US
950,59,103,83,0,1,US
951,1,103,58,27,0,US
952,2,103,103,0,0,BR
953,46,103,97,0,0,US
954,2,103,103,0,0,US
955,15,103,96,0,7,JP
956,31,103,101,0,0,US
957,30,103,52,0,0,US
958,3,103,103,0,0,US
959,16,103,97,1,0,BE
960,23,102,96,0,0,NL
961,26,102,96,0,2,US
962,43,102,93,1,7,US
963,46,102,93,3,2,US
964,10,102,102,0,0,US
965,5,102,102,0,0,GT
966,30,102,93,0,0,IN
967,12,102,63,0,0,SG
968,5,102,102,0,0,TW
969,21,102,23,33,0,US
970,26,102,100,1,0,US
971,9,102,102,0,0,US
972,98,102,75,2,0,US
973,102,102,95,0,1,US
974,49,101,93,2,0,US
975,35,101,83,0,0,US
